query_id,mode,query,expected_answer,model_answer,correct_substring,llm_score
1,vanilla,Who was the FBI chief who testified in the Russia probe?,James Comey,"Former FBI Director James Comey testified in the Russia probe. He is mentioned to have given testimony under oath before the Senate Intelligence Committee, confirming that the Trump administration had not pressured his agency to halt any investigation for political purposes. His statements were a significant part of an ongoing inquiry into alleged Russian interference in the 2016 U.S. presidential election.",1,0.95
2,vanilla,When did Trump dismay allies by abandoning the climate pact?,"May 31, 2017","President Donald Trump announced his decision to withdraw the United States from the Paris Climate Accord on Thursday, as mentioned in the document titled ""Trump dismays, angers allies by abandoning global climate pact"" with Doc ID: 0001.",0,1.0
3,vanilla,What did MIT say about Trump's understanding of their climate research?,Trump badly misunderstood their research,Massachusetts Institute of Technology officials stated that President Donald Trump significantly misunderstood their research when he referred to it as justification for withdrawing from an agreement.,0,1.0
4,vanilla,What specific action did Trump take regarding the Paris climate agreement?,Withdrew from the agreement,"Based on the provided documents, President Donald Trump decided to withdraw the United States from the global climate agreement known as the Paris Agreement. This decision was announced publicly and drew both anger and condemnation globally, according to these sources. It followed an internal debate within his administration between anti-globalist advisers and more moderate voices. He also explained this decision in phone calls with leaders of other countries like Germany, France, Canada, and Britain.",0,0.0
5,vanilla,What was James Comey's role before being fired?,FBI Director,"James Comey served as the Director of the Federal Bureau of Investigation (FBI) before he was dismissed from his position by President Trump. His tenure involved controversies over how he managed investigations, which ultimately led to his firing. This information is based on various documents including an official timeline detailing his year of controversy and a news report discussing the implications for the new Justice appointee who had to write the rationale for Comey's dismissal.",0,1.0
6,vanilla,How did European leaders respond to Trump's NATO meeting?,Expressed disappointment over Article 5 stance,"Based on the given documents, European leaders had varied responses to President Trump's NATO meeting in Brussels. While there was acknowledgment of his commitment to defending Europe as stated by NATO Secretary-General Jens Stoltenberg and a senior White House official affirming support for NATO's collective defense clause, EU officials also expressed lingering differences with the U.S. president on trade issues.",0,0.5
7,vanilla,What was the main point of disagreement between Trump and Merkel?,NATO spending and trade deficit,"Based on Document ID 0068 from Reuters, U.S. President Donald Trump publicly criticized Germany's trade and spending policies during a tweet in which he referred to them as ""very bad"". This has contributed to intensifying the disagreement between the two countries.
",0,0.9
8,vanilla,What happened to Michael Flynn regarding the Russia investigation?,"Declined Senate subpoena, resigned as national security adviser","Michael Flynn, who served as the White House National Security Adviser under President Trump's administration, was involved in several interactions with Senate committees concerning the Russia investigation. According to the documents:

1. In June 2017 (Doc ID: 0193), Flynn declined a subpoena from the Senate Intelligence Committee related to the probe into possible Russian interference in U.S. affairs. This means he refused to comply with the committee's request for information or cooperation, which could have led to legal consequences.
2. Later that month (Doc ID: 0067), Flynn informed the Senate Intelligence Committee that he would start handing over some of the documents subpoenaed by them in relation to the investigation. This indicates his willingness to cooperate with the committee, at least partially.
3. Documents from February 2018 (Doc ID: 0429) revealed a former U.S. Department of Justice official's concerns that Russia could have blackmailed Flynn during his tenure as Trump's national security adviser. This suggests potential criminal activity involving the two countries and highlights the seriousness of the investigation.
4. In April 2018 (Doc ID: 0392), a subpoena was issued by the Senate Intelligence Committee, demanding documents related to Russia from Flynn as part of its ongoing investigation into alleged Russian interference in U.S. affairs during Trump's election campaign.
5. As of October 2018 (Doc ID: 0273), negotiations between the Senate Intelligence Committee and Flynn were still underway to obtain documents for their investigation into Russia's alleged interference in the U.S. presidential election.",0,0.0
9,vanilla,What was the response of world leaders to Trump's Paris agreement decision?,Called it deeply disappointing,"World leaders, including Democratic members of Congress, expressed their disapproval of U.S. President Donald Trump's decision to withdraw from the Paris climate accord. This sentiment was echoed by environmentalists as well. However, supporters sought a new deal in response to this move.",0,0.8
10,vanilla,What did Trump say about Comey to Russian officials?,Called him a nut job and crazy,"Based on document ID 0238, President Donald Trump informed Russian officials at the White House that his decision to dismiss FBI Director James Comey was made due to ""great pressure"" he faced from an ongoing probe. The document does not provide further details about what specifically this pressure entailed or if there were any additional comments or context in the conversation with the Russian officials.",0,0.3
11,vanilla,What were Kushner's reported contacts with Russia?,Three undisclosed contacts with Russian ambassador,"According to multiple reports from Reuters, Jared Kushner, son-in-law and senior White House adviser of President Donald Trump, had several undisclosed interactions with Russian officials before taking office. These included at least three contacts with the Russian ambassador (as per Doc ID: 0087), scrutiny by the FBI in a Russia probe for his role as a campaign advisor to Trump during discussions between Russian officials and advisors (Doc ID: 0103), involvement in at least 18 calls and emails with Russians while he was part of Trump's campaign team (Doc ID: 0272), attempts to establish secret channels of communication with Russia before the presidency began (Doc ID: 0086, Doc ID: 0136).",0,0.0
